Tweet,label
al alquran ya bang mulut kayak orang kafir bejat hina farhat abbas law,negative
lihat beda wibawa wibawa gubernur indonesia masya allah,positive
anjir kali lihat orang bego debat pilih kepala daerah kerja serang karakter kecewa on empok silvy and agus debat final pilih kepala daerah jakarta,negative
gubernur zaman now gusipulputi ganjar yasin djarotsihar hasananton kosterace nurdinsudirman karolingidot keanekaragaman budaya suku agama sungguh kaya djarot hadap rakercabsu,positive
iya islam lokalisasi kristen mas nusantara mas lihat gereja bandung pakai gamelan khotbah pakai bahas sunda jawa huria kristen batak protestan nusantara,positive
cipta situasi aman tertib masyarakat jelang pilih kepala daerah kepala polisi sektor konang silaturahmi tokoh masyarakat,positive
positif positif respon masyarakat hadap cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor,positive
sembahyang adopsi tradisi lokal kerja hindu istilah lahir tradisi ritus tunggal sembah all,positive
didik bodoh larang bawa agama biar orang islam bayar ahok sadar pilih ahok gila,negative
ahok the best abai kaum kampret otak micin,negative
sih otak tempurung laden lawan dungu makan hehe,negative
awaasss berita saudara gerung susah cari kosakata bocor picing mata bibir monyong samping suara kaya nhn kentut politik kotor zaman brt pulang kaya nhn ngeden dungu,negative
pinokio umur ganti presiden,negative
cerita silat lae kho merah muda oh indonesia liang ie shen tulis cina,positive
rt benci umat islam,negative
provokasi mayat politisasi agama kalah pilih kepala daerah daerah khusus ibukota cebong deskripsi kalah junjung for your information ahok pilih camat wakil etnis mayoritas,negative
gue nete,negative
wkwk bani lowo,negative
takabur lahir kuasa rakyat ulama cendikia iblis makhluk alim amp ibadah atus laknat hasud takabur orang ahli ilmu filsafat failosof mari demo sendi,positive
a orang suka konser konser boros,positive
makan racun ulama hukum rokok mubah,positive
susilo bambang yudhoyono presiden ri khofifah emil masyarakat no bagus khofifahemilnomer,positive
kali gue gemar korea pop omong teman gue idol gue banci homo,negative
suka video kisah seteru haji bolot amp malih tongtong,positive
budaya kafir sungguh islam indah,positive
hem hem diam bisu coba rumput goyang,positive
setan bisik was was lindung allah qs al a fussilat,positive
ateis sibuk agama orang,positive
lengser jokowi bangsat,negative
selamat kartini ganti presiden presiden,positive
rt bajing homo hati hadap anak utama kamar mandi laki biar,negative
iya cocot,negative
budaya indonesia,positive
ajar salat a orang asing pecah belah islam,positive
kali bicara bangkai,negative
percaya negara jajah ranah kespembubaran sistem beraja negara negara republik komunis negara jaja,positive
nikmat bijak usul partai komunis indonesia iya,negative
umpama orang cina usir paksa indonesia,negative
bunda ngentot yuk,negative
rt cina babi cina maling usir cina hypertext transfer protocol over secure socket layer t cowok yhiwhjp,negative
karno anti asing beliau jawa coba deh adakan konsensus jawa anti asing pro asing kebo ohannya keliru tutup akun,positive
proyek korupsi rezim susilo bambang yudhoyono,negative
wajar lihat tingkah petinggi negeri suka campur bahas indonesia bahas asing kali bicara,positive
ab pribadi senang kompetisi positif,positive
kitab suci agama bilang om dadak kalap,negative
suka tutup mata tutup lihat tutup gara sipit,positive
muslim nista kitab suci alquran an alquran an suku detik makna faktual umat islam makna sirat fiksi,positive
eh kasar kampang,negative
bentar gue rilis album the onta si wkwk,positive
cebong bang,negative
najis banget gue mentwit barusan he,negative
transgender anjing,negative
awas bintit intip titit kucing,negative
bawel bawa asa bolot bodor wkwk ya deh,negative
gue saran bacot maling ayat langsung the point orang paham riak kafir sesat liberal puja dukun bla blaaa hati puas deh,negative
salah target ahok agenda utama lengser jokowi,negative
kena tagar panas banget ganti presiden,negative
maju duit goyang kaki pape duit nak maju kat bodoh,negative
huria kristen batak protestan pecah kristen katolik zaman jajah belanda nama kristen protestan kristen katolik pecah huria kristen batak protestan kali tarutung kak,positive
baca biar pintar jepang amerika cina utang tau,positive
prabowo kalah bantu jokowi citra ratap pilu,negative
takut azan iblis,positive
goblok bani cebong tukang tipu jilat kuasa gera bayar pakai nasi bungkus propaganda nasi bungkus gagal,negative
cebong sewot,negative
gera tekan kerja keras total tingkat potensi bangsa,positive
gubernur djarot mayoritas partai politik dewan wakil rakyat daerah dukung ahok djarot payah ya,negative
rezim rusak sistem sibuk cari salah ketemu komisi berantas korupsi alat besok perintah ganti ulang engah selesai organisasi orang,positive
orang orang tuding antek asing asing sungguh tepuk tangan,positive
anti asing,positive
selamat moga kiprah tingkat nasional,positive
asyikmnang sih ulama,positive
ketapang tenaga kerja asing asing kerja usaha masuk pt who tambang bauksit viral pilih presiden kerja era gubernur cornelis wakil,positive
anak pecun hobi zina haha,negative
bom surat harga syariah negara,positive
istirahat presiden momentum saksi telinga mata rapat bentuk pacitan,positive
house select committee on assassination hsca temu cacat investigasi laku fbi warren commission hsca simpul tembak laku konspirasi,positive
asa genap april gelar hajat pilih presiden acara negara indonesia pilih presiden moga senantiasa jalan aman lancar amin,positive
ian pantat,negative
orang pintar agama agama nista hujat orang orang bodoh orang maaf lahir idiot harga cipta tuhan iblis pintar licik,negative
daftar calon presiden pilih presiden buka agustus normatif politikus partai demokrasi indonesia juang paham ganti presiden,negative
sih tolol tau perintah rezim komunis bobrok koruptor pimpin sidang dewan wakil rakyat paya cebong,negative
gue mantan mantan gue sedih pikir tidur lo gue anak berengsek laki,negative
cina usak bangsa usir tuju,negative
ganti presiden konstitusional hak rakyat woiii nih plonga plongo laku otoriter,negative
mari wujud pilih kepala daerah kota bengkulu aman damai cok adem heru,positive
serius presiden jokowi islam nusantara kristen nusantara buddha hindu kong hucu nusantara,positive
nyata moeldoko bukti istana takut bangkit umat islam,positive
cowok jago drasex ngentot adik luvian,negative
kroasia kafir tau ajar kafir lupa kapling sorga,negative
nya menteri soeharto homo,negative
gue tau culun takut orang ubah perlahan buruk,positive
perang salib raja afrika babilonia peluk kristen tobaco peluk islam,positive
kejar setor bangsat rupiah turun,negative
moga tindak lapor hadap nista agama adek armando laku langsung ketua front bela islam kah shobri lubis badan reserse kriminal markas polisi republik indonesia gambir jakarta pusat selasa indonesia barat perhaps,negative
bangkai hajar,negative
onta mati minum,negative
ahok tng was was hidup,negative
sul teng ekses akibat sandera hutang cina ganti presiden presiden tetapjokowiganti,negative
pride yunani hyper angkuh harga sombong kenal hubris vanity harga ubah manusia sombong sombong manusia kutuk mata tuhan manusia cinta,positive
tuju hati logika hati tenang logika hati sedih cari wasiat beliau tinggal asing asing mata manusia duhai,positive
taji nya komisi berantas korupsi era era komitmen berantas korupsi surat pemberitahuan era susilo bambang yudhoyono,negative
rt admin tolol partai tolol partai tolol orang tolol,negative
rt ayu ting ting goyang hot raffi ahmad nagita slavina kampung norak,negative
video tenaga kerja asing malaysia kutip nyata,positive
ppp buru buru tolak wacana pilih kepala daerah dewan wakil rakyat daerah,positive
random pagi samper meja kerja pakai bedak sih biar muka bersih istri butek pakai air wudhu kristen,positive
gue kampret,negative
memek lonte sodok kontol gede,negative
jokowi mundur tutup,negative
bicara mulut banci beli kaca lihat bro,negative
amin racist ratna sih paiiit sih onta sih lobang anus takut oi oi habis obat tenang ya,negative
tunggu komando imam bejat cabul tai bir bawa ulama dasar banj sempak,negative
kabinet beranta pecah belah rezim,negative
ih pintar orang politik kaca oi tampang kak orang bego wkwk,negative
partai demokrasi indonesia juang menang tekan usaha tambang target proyek impossible lelang murah antek cina ntb contoh partai demokrasi indonesia juang menang dasar bajing,negative
percaya mulut buaya mu bawang,negative
susilo bambang yudhoyono prabowo lawan mega jokowi peristiwa ulang partai demokrasi indonesia juang incumbent kalah mutlak susilo bambang yudhoyono jokowi mega susilo bambang yudhoyono lawan prabowo pilih presiden selesai poros pilih presiden salah lawan,positive
rt kayak banci kaleng gatot gaduh gentleman mundur saing pilih presiden lawan jokowi,negative
bebal,positive
indonesia negara populasi muslim dunia islam rupa musuh barat amp komunis hambat agenda obviously,positive
umuh persib persib kunyuk,negative
film muslim pilih ahok mati salat jamin laris,negative
banu banu yahudi beda banu banu kristen suriah salah beda banu yahudi pakai eloah elohim yahwe suriah pakai alah allah,positive
eh muka merah cendol setan cuaca nih panas,negative
berita saracen diframing katak tim prabowo anies sandi media tumpah sakit hati katak cebong ehe,negative
giat bhayangkara bina aman tertib masyarakat brigadir polisi manajemen bas sekolah sihombing rabu april laksana sambang desa tatap muka pantau aman tertib masyarakat tuju pilih kepala daerah desa lobusiregar i rumah rudi panjaitan helm siahaan hotman siahaan,positive
sayang banget ya lihat perempuan kayak status tempel laki laki aduh nagita slavina blak blak ayu ting ting kampung viva,negative
lupa kang umat katolik minoritas perhati gubernur golong golong,positive
cebong bilang kemarin eyel situ paksa cebong,negative
lemah gerindra orang prabowo turun elektabilitasnya congor fadli zon surat pemberitahuan durno,negative
selamat kartini kali raya makna kali,positive
foto bisu milik arti susah arti susah arti putus,positive
wkwk alam muncul grub wa a bani abdi had a kak a mbah mek kenal orang,positive
ayah pres badar nuqaba boekkk nih hebat bidang agama kali takut natural killer tegur member lawak hambar lawak orang jom gerak gera badan chubby,positive
orang anak pekan ilham dasar ekonomi deb gerak utama maju ekonomi bandar beliau allah ya rahman tun abdul razak ds malaysia pilih hogohundi,positive
haha sialaaan nih sih nyata lapar presiden sikat,positive
nasihat kali ugalan nih rezim eh negeri keburu hancur ekonomi moral meni kacaoooooo,negative
alah silit kebelet kasihan orang sayang media sosial gue sadar instansi kemarin entar gue cerita duh,negative
iya cacat,positive
rakyat makan aspal beton solusi jitu miskin ahli cebong tukang tipu cebong goblok ketulungan plonga plongo akibat optimisme ganti presiden,negative
baca harun yahya belot kubu yahudi freemason nya kadang suka percaya,positive
maju ulama gerak tokoh agama indonesia gus mus,positive
,positive
mukidi percaya mudah ya keras keras nama,positive
kemarin hujat harap dasar bani kampret,negative
fitnah sila ban apollinaris darmawan al alquran kitab sampah,negative
monyet koloe bilang saudara ogah hidup ya hati comberan,negative
body lufra scrub bahan dasar lidah buaya melembabkan kulit amp cahaya info body mass index,positive
cacat,positive
anut bumi datar teori bumi bulat orang asing notabene musuh,positive
becak warga binjai sita tenda tulis ganti presiden partai adil sejahtera radang bukti perintah panik takut,negative
jokowi mundur,negative
musyawarah nasional alim ulama ppp semarang hasil rekomendasi syarat kriteria kriteria calon wakil presiden damping jokowi romahurmuziy,positive
cerah nya gagal anak ekonomi wkwk,positive
kafan budaya yahudi umat islam klaim,positive
rezim kendali negara cina komunis patron tunggal rezim anti islam jokowi,negative
tanda nya pilih kepala daerah pilih presiden,positive
misi bangun masyarakat gotong royong toleran harmoni selaras nilai budaya jawa barat luhur nojabarasyik asyikmnang,positive
tabah pasang taufik puan iyana wajar contoh jom sumbang ringan beban pasang come on twitter your pikir badan standar nasional bank islam iyana bosan abdul razif,positive
sih tahi doang belaganya langit karma idol flop gue tertawa keras,negative
celeng kangen gue iya,negative
rang negeri budaya yuk unjung purwokerto mumpung even rakyat purwokerto ekstra vaganza banyumas,positive
presiden dana taktis rakyat program perintah program bangun infrastruktur kip kartu indonesia sehat sertifikat tanah hutan sosial bahan bakar minyak harga padat karya,positive
amin ya allah tim latih ular rawa rawa sungai gede musuh buaya wkwk,positive
maju maki mama bolot,negative
gerombol kadal jidat gosong suka ribut gerombol salah pura budek dasar gerombol cingkrang,negative
gentar takut hadap kafir,positive
rt saracen akun kritis anggap saracen aneh jokowi,negative
bego teman gue najis kesal gue,negative
kafir kristen ulah,negative
tau bau bau cir sipit buluk,negative
kayak pegang mucikari,positive
guru darma wanita desa plumbon porong deklarasi anti hoaks benci isu sarah dukung pilih kepala daerah damai,positive
anjir seram main,negative
kayak bank bilang jual uang asing tukar rupiah,positive
onta yaman nih gue deportasi,negative
hati hati berita pilih kepala daerah bau hoaks madiun madiun today thmadiun kotak karismatik madiun tolak cukai ilegal kunjung,positive
anak cocot ya,negative
hoaks ya fahri ambil berita tuyg tong sampah ambil screenshoot tau berita,negative
mantap direct message baris serba bang,positive
nyata lebah suka bunga makan bangkai gue penasaran madu nya kayak,positive
indonesia mundur bentuk,negative
dongok bilang hacker haha,negative
haha blunder cebong protein energy malnutrition pusat alas ham rakyat aceh ya kali coba perintah bilang suruh hukum islam kaffah aceh dewan wakil rakyat a,negative
bangsat gue selam,negative
pancing pancing urus nista bicara paham fiksi kitab suci,positive
cebong kacung teman gue dungu tulang sum buang energi debat,negative
partai korupsi sapi goblok,negative
sinyal kontol pelihara niat sih login twitter doang susah open redtube setan,negative
mata kafir wkwk,positive
facebook anjir lupa,negative
sih bilang alah kontol,negative
nikita mirzani pakai hijab bicara cebang cebong fantasi uh ah cokorers,negative
tatap alih arah enggan tatap pria curiga kali gaduh suasana angie temu orang pria asing tidur sofa,positive
lahir kembang gera komunis indonesia pisah buah organisasi nama indische sociaal democratische vereeniging,positive
shaheizy wajah baharu calpis,positive
ya serah balas fokus kerja kerja tugas proyek seni budaya langsung kumpul presentasi syukur nilai muas proyek,positive
bro,positive
laku bodoh masuk kategori senang laku sontoloyo menganggu bangsa laku naif langsung bentuk intimidasi hadap ulama laku,negative
monyet turun mukim warga cibadak sukabumi,positive
kotor bahagia warga cebong erti,negative
giveaway taplak meja menang the rich chenle,positive
rt buka busuk kubu anies sandi menang berkah prabowo usaha cuci tangan,negative
wkwk bodoh bang,negative
kayak orang bego bro b ego,negative
menteri lingkung hidup hutan upaya perata ekonomi tora kawasan hutan hutan sosial tribun medan,positive
mahfud md allah subhanahu wa taala berang bangsa ajak buang islam,negative
orang bego minum amp makan kotor onta otak nya somplak,negative
kuak strategi kampanye tim menang anies sandi,negative
warga badui selesai tradisi seba pendopo perintah kabupaten lebak temu gubernur banten wahidin halim sabtu sebabaduy,positive
lembaga anti korupsi bubar sentuh kuasa gilir komisi berantas korupsi partai demokrasi indonesia juang partai politik kuasa pulang otot bubar komisi berantas korupsi,negative
mas sudut salah agama bahaya rocky cerdik susun kalimat amp inti kasih tau erti fiksi ayo mas nya i,positive
dukung calon presiden gagal pindah on sibuk urus asing bawa kabur uang rupiah t sadar asing kabur bawa uang dukung pribumi anjing mustahil asing pribumi diam sogok mental kacung,negative
rt rabun budek gue tulis bicara,negative
bismillah tahan sepo kutuk,negative
brahahahaaa cebong nya ahoker cebong cebok,negative
update status bikin tugas selesai ya jancuk jembut,negative
muslim jabat negara tindak bangsa negara,positive
ikan sembuh sakit selamat bagus laik jual pisah seleksi ikan cacat permanen pelihara sehat ikan cc,positive
arti pribumi sadar lihat kecuali cina komunis misionaris abai twit usir cina indonesia,negative
presiden tuduh rezim anti islam negeri umat,negative
manusia bangsat,negative
rt ya cina kenal wisata haram indonesia haha,negative
rt prabowo partai adil sejahtera bib asyik anggap antek prabowo antek partai adil sejahtera hidup dramatis,negative
sahabat salah lovren bukti beda suku agama ras halang bina hubung umat manusia beda warna jalin teman terima kasih lovren salah favorit best friend forever bro,positive
lae turun turun ideologi partai komunis indonesia lekat jiwa,positive
rt kesal rokok motor iya kadang pengap tutup macet,positive
maaf kunyuk bro enak banget rasan sebar hoaks maaf sebar hoaks maaf mesti sapu biar jera nih orang,negative
halo warga jakarta wakil kepala dinas tanam modal layan padu pintu provinsi daerah khusus ibukota jakarta denny wahyu haryanto wakil wakil gubernur provinsi daerah khusus ibukota jakarta buka acara junior chamber international jci indonesia nasional event setia layan jakarta,positive
kuat jaring gubernur tekan kuasa state of the art knowledge bahasa rantau indonesia,positive
pandang tuan guru bajang hadap agama politik,positive
rt sedia berengsek,negative
susilo bambang yudhoyono presiden ri khofifah emil masyarakat no bagus,positive
dungu orang ganti presiden tau mikiiiir,negative
rt bokep cewek bispak bandung ngentot crot unduh full,negative
kampret complain raga tanggap fuck,negative
kayak jablay grand theft auto jemput pakai mobil,negative
lihat memek tante,negative
kerja musuh dakwah islam bubar hati rakyat hak lengser jokowi kodok tukang citra,negative
ha lengkap orang bukti goblok sih,negative
salah orang khalifah rasyidin rang orang kafir orang orang munafik orang munafik,positive
suka nete uji nasional maklum,negative
nek lihat match chelsea sih menang mudah manchester united iya embuh sih chelsea kacrut ki prediksi,negative
ya kali tentara nasional indonesia suruh urus sampah plastik,positive
khawatir manuver politik bijak laku rezim moga negara republik indonesia cinta amin,positive
madi arya lapor rocky gerung polisi serius kitab suci fiksi rocky nyata salah hina tunggu anut agama a anggap kitab suci,positive
bajing tengik,negative
pakai buruh cina rakyat anggur dasar rejim kodok,negative
,negative
rupiah haneul cute pacar perek on retweet,negative
bilang anti asing asing tau wkwk,positive
suriah sekolah radikal rakit bom pulang indonesia ya aman,positive
rt kadang hidup kayak tahi kadang berak orang beres tainya tangan iya,negative
ih banci selotipan,negative
rt haha kalah nih iya orang jahat kalah,negative
rt cinta orde meng idola prabowo amp hary tanoe,negative
tantang buka dada eh setan habis kamus lawan kenegarawanan joko widodo presiden ri stresssssss nih hati kena strok serang jantung rakyat indonesia hilang badut politik merdeka,negative
belah duren ya dungu ya cebong maaf ya,negative
orang orang yahudi nasrani al kitab taurat injil kenal muhammad,positive
bubar hati amp front bela islam,negative
ahok verbal keras lampias lari lelaki lunak,negative
teman kantor langgan cadar langsung bilang awas bom hela nafas,positive
rt pantat nih tusuk tusuk bo wa gay berondong massage boy gay jakarta gay yogyakarta gay tangger,negative
ancam bunuh presiden republik indonesia mas mesti lapor tegak hukum tindak ancam bunuh kepala negara,positive
kayak orang nyosor nete,negative
ngewe,negative
jebur cebur,negative
partai adil sejahtera ulang balai kota rr bicara calon presiden balai kota ganti nama balai politik,positive
rencana seret adil ham pbb,negative
bijak barang konsumen laku barang rusak cacat produksi konsumen puas produk hitung tanggal beli haus mini quiz hazid yuk,positive
kisah hidup muhammad lengkap unduh,positive
jajah bumi indonesia hapus jajah ekonomi budaya hasil bumi cina basmi negara republik indonesia usir,negative
we pipis onta cecer mari bau pesing,negative
teriak lantang perintah pro asing pas tawar bantu asing bikin posko inti kompor keluarga korban perintah bilang,positive
mari juang jokowi lantik gentar takut mata benang leher ujung tombak perut surut langkah bisu suara,positive
rt kayak monyet,negative
survei metro televisi jokowi menang presiden hitung ya kalah salah judul maksud jokowi menang sumber zie bajrie,negative
,positive
cuba tegak anime nih karakai jozu no takagi san nak feeling feeling cinta monyet zaman sekolah throwback habis,positive
seru pesta budaya derau kuta kartanegara,positive
rt kontak retweet ya banget kenal tante jilboobs sange nama tante dea o,negative
debat publik ajang bukti pintar ruang akademik pamer indah orang kuat lemah egosentris nama kuat tahan l,positive
duduk istana negara lengser jokowi salamtahun,negative
rt hebat sibuk citra baca nih,negative
muslim hina iblis betina nista syariat,negative
rt baby kafir buddha teroris myanmar,negative
indonesia merdeka indonesia jajah orang cina takbir allahu akbar,negative
politik hanta yudha pasang calon no nya jawa jawa gayeng jokowi,positive
rt jongos nista agama ahok sok sok ngong sara majikan nya tebar sara astagfirullah tobat,negative
follow beli katolik akun prof wawas bangsa terima kasih,positive
sih bejat cabul kecut sih onta iya,negative
wibisono citra jokowi sebar up media massa pro asing kes jokowi hasil,negative
rt adi gaya kayak beruk supir tembak metromini masuk dewan wakil rakyat kampung,negative
mainstream mengaartikan pintar pintar relatif gantung bawa erti surat pemberitahuan pintar meng undeeestimate orang gue pintar komen rejim now pintar mangkrakan janji doang sok making,negative
gue dongok,negative
ih masak sampah,positive
gue pukau ganti presiden,negative
aspirasi lina sumedang calon gubernur jabar berantas rebut laki orang resah hidup warga desa,positive
yaelah chat urus lihat mesum anggota dewan wakil rakyat diam nyata selingkuh pura budek bong otak,negative
takut cina party dap bimbang paham bawa,positive
cermin pecah kaca,positive
langsung tag partai berani ya arti banci,negative
awwww comel nya asing warna,positive
islam manusia idealis realistis hidup lupa ajak kerja keras ajak istirahat,positive
kristus anjing anjing jembut keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kak,negative
agama katolik katolik nusantara agama kristen protestan kristen protestan nusantara agama hindu hindu nusantara agama buddha buddha nusantara,positive
bas teknologi digital presiden sistem jalan langsung ramah ratas,positive
ah asa hibur cebong bahagia presiden cebong tol cebong germo,negative
resah presiden hidup penuh drama citra main film televisi joko judul,negative
agama kristen golong darah b san fernando valley,positive
buddha bunuh muslim myanmar,negative
yahudi bangkai jerman ibadah,negative
papa ketua fraksi rakyat nya setya novanto dewan wakil rakyat pecat ketua dewan wakil rakyat pecat dewan wakil rakyat,negative
cina,positive
hoaks kodok biawak roket sekop bangsat karbitan munafik ganti presiden presiden tenggelamkanjokowikesungaisiak,negative
ribut komunis bla bla emoh baca baca niat agitasi serang perintah pakai cari simpatisan,negative
presiden jokowi harap skema kerja laku bangun bangun,positive
pilih langsung biar pilih presiden dewan wakil rakyat calon presiden biar kayak kucing karung bikin mekanisme oke calon presiden gubernur prestasi maju calon presiden gubernur,positive
vital inter bek kanan beda ya era maicon ambrosio cancelo bagus hmmmm arti simpul geblek ausilio,negative
nama agama munafik,negative
contoh tuding duga korupsi susilo bambang yudhoyono dorong jaksa usut himbau komisi berantas korupsi usut duga korupsi jokowi,negative
cium bau bau pecun,negative
henti konsumen wisata haji rumah tipu produsen wisata jiarah indonesia,negative
buru nazi simon wiesenthal pegang foto foto gambar mantan kepala gestapo laki laki rauf buah van kamar gas gerak eksekusi orang orang yahudi,positive
rt caci maki nista agama nyata poligami umpet sih ogah,negative
bubar negara republik indonesia harga mati,negative
sih royson jokowi kacung gue alas fundamental rezim sengaja masuk debt trap komunis cina sok wajib ganti presiden,negative
wkwk mampus pepet uji ah,negative
gubernur jaman now ya anti hoaks sebar isu ganjar yasin menang ganjar yasin ganjar yasin,positive
azan televisi panggil allah subhanahu wa taala dungu biadab henti acara catut nama tuhan,negative
laku bani cebong,negative
baju yahudi top bas geng jubah putih kopiah minyak atar janggut dahi belekok bak ahli syurga nih out of place mohon rajam,positive
gue ge marah auto daftar hitam hidup gue sampah daur ulang,positive
anjir bekas silit,negative
cebong panas ngawur,negative
amin moga tampil sumbang medali sumatra selatan,positive
,positive
bingkai bangkai ajar hidup,positive
edan menang lihat ya ampun kartu r gue banget,negative
partai komunis indonesia alias partai korupsi indonesia ganyang,negative
perempuan kayak mending mati deh jelek sok pakai up artist,negative
jual gue kayak jablay,negative
bijak tugas jajar kereta listrik doang tumpang doang suruh orang erti erti butuh orang bangkai,negative
titit nya sambung pakai accessoris,negative
mata gue pas sipit aneh banget,positive
banci gigih natural killer,negative
waspada cina komunis indonesia,negative
banci kampung hai,negative
gembel ganteng kasihan cinta asyik asyik hebat,negative
deklarasi pilih kepala daerah aman anti hoaks toga jemirahan jabon,positive
setia usaha agung pas datuk takiyuddin hasan sahkan cuba pinda lembaga party presiden party,positive
najis,negative
sastra e karl mark pentol komunis rusia,positive
otak kayak bool deh mes makan silit,negative
ganti rezim kacung cebong,negative
cina hak larang,negative
hebat bicara cinta pegang alquran pegang hidup alquran bicara cinta perang bunuh penggal,negative
jomblo jablay,negative
perjaka jual sok sok an booking tante idiot anjir,negative
rev pilih ulama kafir munafik,negative
jaga bersih lingkung orang melek wajib buang sampah bicara tugas bersih,positive
sejuk gila kantor kulit buaya,positive
ooo kena imbang nakal kucing anjing abang dark side bright side chill sosial kalai lengkap haha kak bang selamat maju jaya terima kasih,positive
solusi ganti presiden dampak signifikan nya obat cegah sakit parah,negative
gampang kak buka handphone buka browser ketik budaya palembang sila nikmat ajar gratis,positive
gerombol onta bela umat politik praktis tuan guru bajang demokratis umat pikir modern salut tuan guru bajang,positive
culun mending kampung jess,negative
rt goyang jilboobs mantap nih hyper kontol squirt tonton live nya besok,negative
islam indonesia islam nusantara islam modifikasi rupa masuk budaya indonesia agam islam nusantara islam toleran,positive
presiden aspek indonesia mbak anti investasi asing ubah invasi asing wajib warga negara lawan,positive
indonesia barat kepala unit bina masyarakat inspektur polisi mt hutasoit laksana sambang pesan aman tertib masyarakat pilih gubernur pilih kepala daerah karyawan bank rakyat indonesia ranting muara damenra silit kawan kawan desa hutanagodang camat muara kabupaten tap utara,positive
kalimantan tuju batu bara nya keruk listrik megap,positive
fardu kifayah hukum wajib ajar islam pilih presiden utus kalang santri sokong ulama maju pimpin negeri,positive
ha bangkai nih truk,negative
nahdliyin setop hina hadap maruf amin,positive
cebong kampret onta singgung laut,negative
risa pulang latih khusus iris hazel milik tangkap siluet orang gadis gadis asing risa temu gadis radio tinggal kerja r,positive
haha orang gila bicara cak micin biar otak encer cong bicara ngawur muslim muslim silit tau babi,negative
coba kaca introspeksi keluarga pakai hijab komunis otak pakai properti orang,negative
muhammadiyah inggris jalin kerja kendali ekstrem,positive
neraka kena bom surga orang muka bumi masuk goku,positive
bot ih liebe ih arti bot kasih ipad barusan cemplung jamban kuda,negative
copot darmin nasution menteri ekonomi ekonomi bodoh turun daya beli jabat,negative
rt bodoh anjir bodoh tertawa gue tertawa astagfirullah humor banget,negative
mata picek cuk lihat prestasi jokowi guoblokkk tolol,negative
hasil penjara ahok alumni dukung rizieq lengser jokowi lebaran,negative
coba dedengkot jin terang ulama saudi rilis publik akidah jin contoh jin anggap kafir peluk kristen hindu buddha peluang masuk surga fatwa saudi jin adal,positive
hujan lebat langit gelap gelita guruh kilat sumbat jari telinga dengar suara petir ranah takut mati masakan lepas allah me,positive
cerdas konseptual,positive
nama yoon putus iring sergap mata asa antuk gigit bibir ragu gapai gelas minum wine tinggal,positive
bismillah melayu raya tanah melayu nama dengar kaji jajah tanah melayu thread kupas serba bani jawi,positive
